datetime,Latitude,Longitude,Depth,Magnitude
2011-03-11 07:23:17,37.454,142.097,19.6,5.9
2011-03-11 07:25:36,37.934,144.529,39.5,6.1
2011-03-11 07:28:12,36.823,141.824,28.4,6.1
2011-03-11 07:29:02,39.031,142.349,45.4,6.3
2011-03-11 07:30:18,37.442,141.195,49.2,6.0
2011-03-11 07:33:34,36.323,142.71,35.0,5.7
2011-03-11 07:35:52,36.943,142.309,21.9,5.7
2011-03-11 07:38:28,39.204,142.793,38.5,5.8
2011-03-11 07:42:56,36.403,141.892,35.0,5.7
2011-03-11 07:44:28,36.195,141.813,13.8,5.8
2011-03-11 07:54:45,37.743,141.573,50.8,5.7
2011-03-11 07:56:15,37.106,142.226,38.0,5.6
2011-03-11 07:59:49,37.012,142.78,0.7,5.7
2011-03-11 08:01:57,36.936,142.7,19.3,5.9
2011-03-11 08:04:59,37.593,142.208,48.9,5.7
2011-03-11 08:10:29,36.287,140.852,19.5,5.6
2011-03-11 08:12:07,36.569,141.486,39.6,6.2
2011-03-11 08:15:42,37.047,144.541,41.0,6.1
2011-03-11 08:19:24,36.166,141.562,6.8,6.5
2011-03-11 08:26:37,37.367,143.017,17.0,6.1
2011-03-11 08:27:52,38.017,142.657,42.8,6.0
2011-03-11 08:31:09,37.469,141.176,37.3,6.0
2011-03-11 08:33:01,39.14,142.967,27.6,6.0
2011-03-11 08:35:22,36.033,140.984,19.7,5.6
2011-03-11 08:39:13,37.64,142.771,46.2,5.5
2011-03-11 08:40:56,37.447,140.984,39.5,5.9
2011-03-11 08:44:00,36.122,140.966,47.3,5.6
2011-03-11 08:46:46,37.416,142.451,25.8,5.6
2011-03-11 08:52:23,36.77,141.924,17.0,5.5
2011-03-11 09:09:15,37.683,143.311,39.2,5.5
2011-03-11 09:37:05,35.912,141.601,5.8,5.5
2011-03-11 10:10:34,39.185,142.76,26.5,6.0
2011-03-11 10:22:03,36.665,142.521,10.0,5.7
2011-03-11 10:28:43,39.397,143.592,20.0,5.9
2011-03-11 10:45:45,38.417,143.752,33.3,5.6
2011-03-11 11:00:52,37.737,141.496,41.8,5.6
2011-03-11 11:10:58,35.535,141.842,35.0,5.5
2011-03-11 11:13:13,36.38,141.778,25.9,5.5
2011-03-11 11:16:50,36.628,141.809,36.6,5.5
2011-03-11 11:21:03,35.684,140.933,35.0,5.7
2011-03-11 11:21:30,37.547,143.073,35.0,5.8
2011-03-11 11:32:15,36.238,142.396,35.0,5.7
2011-03-11 11:32:27,39.065,143.166,36.3,5.8
2011-03-11 11:36:41,39.241,142.463,25.7,6.6
2011-03-11 11:44:28,36.695,142.244,35.0,5.7
2011-03-11 11:46:42,36.004,141.171,17.7,5.8
2011-03-11 11:56:13,36.267,141.527,23.1,5.5
2011-03-11 11:58:54,35.752,142.08,35.0,5.6
2011-03-11 12:12:55,38.055,142.548,35.0,5.9
2011-03-11 12:15:45,39.084,142.264,50.2,5.8
2011-03-11 12:49:03,36.147,141.602,35.0,5.6
2011-03-11 12:56:05,37.795,141.96,35.0,5.5
2011-03-11 13:16:52,36.371,141.743,57.7,5.6
2011-03-11 13:18:17,37.575,142.827,35.0,5.5
2011-03-11 13:34:31,36.162,141.84,4.7,5.5
2011-03-11 13:43:10,38.989,144.126,25.3,5.7
2011-03-11 14:00:39,36.123,140.761,51.3,5.5
2011-03-11 14:27:57,37.112,144.036,20.7,5.5
2011-03-11 14:56:12,35.96,141.403,10.2,5.8
2011-03-11 15:07:40,36.332,141.54,15.1,5.5
2011-03-11 15:13:15,35.994,141.808,21.0,6.3
2011-03-11 15:19:38,36.247,141.856,35.0,5.5
2011-03-11 15:20:08,36.398,141.864,52.8,6.0
2011-03-11 15:22:27,35.637,141.548,35.0,5.5
2011-03-11 16:11:30,39.464,143.465,35.0,5.5
2011-03-11 17:16:56,36.999,144.159,9.3,5.6
2011-03-11 17:17:24,35.331,141.391,1.7,5.5
2011-03-11 18:11:25,37.197,142.096,15.6,5.7
2011-03-11 18:17:07,36.22,141.628,39.5,5.8
2011-03-11 18:59:17,37.014,138.376,9.3,6.2
2011-03-11 19:02:59,39.342,142.872,27.1,6.0
2011-03-11 19:08:39,36.264,140.884,9.1,5.5
2011-03-11 19:24:25,35.685,140.658,2.2,5.5
2011-03-11 19:31:56,36.943,138.3,12.4,5.7
2011-03-11 19:46:51,40.483,139.055,10.0,6.2
2011-03-11 20:11:24,39.005,142.633,17.4,6.1
2011-03-11 20:23:41,35.814,141.605,8.1,5.7
2011-03-11 20:36:10,37.829,142.828,25.8,5.5
2011-03-11 22:51:20,37.834,144.827,39.3,5.7
2011-03-12 00:45:09,36.112,141.768,20.0,5.5
2011-03-12 01:19:07,-16.724,-173.205,14.0,5.8
2011-03-12 01:34:10,38.751,142.831,22.3,5.8
2011-03-12 01:46:21,37.328,141.754,32.2,5.5
2011-03-12 01:47:15,37.594,142.648,20.0,6.5
2011-03-12 02:47:33,37.6,143.61,14.6,5.9
2011-03-12 03:01:47,39.549,142.598,19.9,5.8
2011-03-12 03:11:58,35.952,141.344,16.7,5.9
2011-03-12 04:04:50,-3.016,139.1,59.4,5.5
2011-03-12 04:52:57,40.082,143.202,25.5,5.7
2011-03-12 06:18:45,39.171,142.33,53.7,5.5
2011-03-12 09:51:35,-3.84,151.453,10.0,5.6
2011-03-12 10:53:31,39.049,142.279,27.0,5.7
2011-03-12 12:53:52,37.734,143.506,34.1,5.9
2011-03-12 13:15:42,37.249,141.159,38.0,6.1
2011-03-12 13:26:00,25.209,-109.82,12.6,5.6
2011-03-12 14:03:31,38.791,142.549,35.0,5.6
2011-03-12 14:43:11,39.465,142.405,35.0,5.8
2011-03-12 17:19:24,36.517,142.482,10.0,5.8
2011-03-12 22:12:46,37.681,141.889,16.0,5.8
2011-03-12 23:24:49,38.047,141.72,15.0,6.1
2011-03-13 01:26:04,35.723,141.637,8.0,6.1
2011-03-13 07:56:43,39.642,143.181,13.0,5.7
